MODEL,DATA_TYP,MODEL_INDEX,TEST_SPLIT,LAYERS,UNITS,RETURN_SEQUENCE,FORECAST_HORIZON,BATCH_SIZE,EPOCHS,STEPS,OPTIMIZER,LEARNING_RATE,NORMALIZATION,TRAINING_TIME,TEST_TIME,MAE,MSE,RMSE
lstm,Wind,9,0.2,2,64, False,25,64,5,1894,Adam,0.001,minmax,93.02477527,2.402350664,27.68527281,1598.882254,39.98602574
lstm,Wind,10,0.2,2,128, True,25,64,5,1894,Adam,0.001,minmax,85.48729944,2.402181387,32.9365484,2200.745377,46.91210267
lstm,Wind,11,0.2,2,128, False,25,64,5,1894,Adam,0.001,minmax,93.28566146,2.347524643,27.47474903,1609.627794,40.12016692
lstm,Wind,12,0.2,4,32, True,25,64,5,1894,Adam,0.001,minmax,147.4594493,4.109829903,30.5306632,1824.46795,42.71379109
lstm,Wind,13,0.2,4,32, False,25,64,5,1894,Adam,0.001,minmax,146.5237231,4.016834736,31.02915729,2023.670432,44.9852246
lstm,Wind,14,0.2,4,64, True,25,64,5,1894,Adam,0.001,minmax,163.8974559,4.335394144,34.02206376,2311.394555,48.07696491
lstm,Wind,15,0.2,4,64, False,25,64,5,1894,Adam,0.001,minmax,130.017262,4.104822874,28.59932795,1663.239237,40.78283018
lstm,Wind,16,0.2,4,128, True,25,64,5,1894,Adam,0.001,minmax,167.2298856,4.075419426,27.74603204,1629.312844,40.36474754
lstm,Wind,17,0.2,4,128, False,25,64,5,1894,Adam,0.001,minmax,133.8040097,4.148490906,35.46771491,2461.878785,49.61732344
rnn,Wind,0,0.4,1,32, True,25,32,5,2841,Adam,0.001,minmax,77.2814126,2.349097252,42.16060049,3390.100391,58.22456862
rnn,Wind,1,0.4,1,32, False,25,32,5,2841,Adam,0.001,minmax,75.91173148,2.219754457,34.66952435,2287.677045,47.829667
rnn,Wind,2,0.4,1,64, True,25,32,5,2841,Adam,0.001,minmax,77.81800056,2.378172636,29.9293434,1799.528003,42.42084397
rnn,Wind,3,0.4,1,64, False,25,32,5,2841,Adam,0.001,minmax,76.73688698,2.260765314,43.25706,3419.181576,58.47376827
rnn,Wind,4,0.4,1,128, True,25,32,5,2841,Adam,0.001,minmax,76.85503078,2.429564953,30.07027731,1887.628759,43.44684981
rnn,Wind,5,0.4,1,128, False,25,32,5,2841,Adam,0.001,minmax,74.55891395,2.291740894,28.51605627,1724.324048,41.52498101
rnn,Wind,6,0.4,2,32, True,25,32,5,2841,Adam,0.001,minmax,126.1410255,3.233445883,28.67479547,1714.660638,41.40846095
rnn,Wind,7,0.4,2,32, False,25,32,5,2841,Adam,0.001,minmax,125.3773816,3.490069866,37.51149176,2589.391877,50.88606761
rnn,Wind,8,0.4,2,64, True,25,32,5,2841,Adam,0.001,minmax,123.744158,3.197090387,40.25610115,3052.947021,55.25347972
rnn,Wind,9,0.4,2,64, False,25,32,5,2841,Adam,0.001,minmax,124.9614389,3.438177586,28.82263547,1741.053713,41.72593574
rnn,Wind,10,0.4,2,128, True,25,32,5,2841,Adam,0.001,minmax,123.3863556,3.435646772,33.44778442,2328.228998,48.25172533
rnn,Wind,11,0.4,2,128, False,25,32,5,2841,Adam,0.001,minmax,129.6135278,3.305741072,28.62123844,1648.559071,40.60245154
rnn,Wind,12,0.4,4,32, True,25,32,5,2841,Adam,0.001,minmax,210.1627162,5.562465668,38.83088265,3129.529197,55.94219514
rnn,Wind,13,0.4,4,32, False,25,32,5,2841,Adam,0.001,minmax,219.6631703,5.67906189,34.49237715,2565.76499,50.65338084
rnn,Wind,14,0.4,4,64, True,25,32,5,2841,Adam,0.001,minmax,206.4471462,5.467658043,35.43765571,2698.919368,51.9511248
rnn,Wind,15,0.4,4,64, False,25,32,5,2841,Adam,0.001,minmax,211.7155712,5.456622362,33.25691356,2172.404379,46.60905898
rnn,Wind,16,0.4,4,128, True,25,32,5,2841,Adam,0.001,minmax,222.376955,5.643570185,33.2239003,2119.210918,46.03488806
rnn,Wind,17,0.4,4,128, False,25,32,5,2841,Adam,0.001,minmax,224.8922663,5.300325871,33.05419389,2097.665881,45.80028254
lstm,Wind,0,0.4,1,32, True,25,32,5,2841,Adam,0.001,minmax,84.29332471,2.740787983,28.16678227,1673.742289,40.91139559
lstm,Wind,1,0.4,1,32, False,25,32,5,2841,Adam,0.001,minmax,83.65580535,2.509450674,32.79150745,2065.810095,45.45118364
lstm,Wind,2,0.4,1,64, True,25,32,5,2841,Adam,0.001,minmax,83.92766333,2.62613225,36.65589229,2566.129248,50.6569763
lstm,Wind,3,0.4,1,64, False,25,32,5,2841,Adam,0.001,minmax,78.42609859,2.784311295,29.74361887,1813.970542,42.59073306
lstm,Wind,4,0.4,1,128, True,25,32,5,2841,Adam,0.001,minmax,84.16507387,2.727470875,27.70672089,1609.325777,40.11640284
lstm,Wind,5,0.4,1,128, False,25,32,5,2841,Adam,0.001,minmax,78.98421121,2.711429834,29.95154459,1815.463428,42.6082554
lstm,Wind,6,0.4,2,32, True,25,32,5,2841,Adam,0.001,minmax,114.6512971,3.971280813,32.39306429,2149.610035,46.36388719
lstm,Wind,7,0.4,2,32, False,25,32,5,2841,Adam,0.001,minmax,131.8600142,4.034862995,28.86271993,1751.602354,41.85214873
lstm,Wind,8,0.4,2,64, True,25,32,5,2841,Adam,0.001,minmax,132.5943449,4.002171278,28.37462002,1657.574204,40.71331729
lstm,Wind,9,0.4,2,64, False,25,32,5,2841,Adam,0.001,minmax,125.4389772,3.926264524,33.90219526,2225.93491,47.17981465
lstm,Wind,10,0.4,2,128, True,25,32,5,2841,Adam,0.001,minmax,139.6636412,3.929167509,31.28710948,2068.321026,45.47879754
lstm,Wind,11,0.4,2,128, False,25,32,5,2841,Adam,0.001,minmax,122.8150814,4.260500669,33.3262274,2247.411951,47.40687662
lstm,Wind,12,0.4,4,32, True,25,32,5,2841,Adam,0.001,minmax,207.6195643,7.093177319,32.99363235,2260.440423,47.54408926
lstm,Wind,13,0.4,4,32, False,25,32,5,2841,Adam,0.001,minmax,205.0889862,7.41368103,28.94669073,1743.650783,41.75704471
lstm,Wind,14,0.4,4,64, True,25,32,5,2841,Adam,0.001,minmax,215.5160663,7.02170825,35.34600065,2597.584263,50.96650138
lstm,Wind,15,0.4,4,64, False,25,32,5,2841,Adam,0.001,minmax,211.3186944,6.97931838,30.93996978,1961.889222,44.29321869
lstm,Wind,16,0.4,4,128, True,25,32,5,2841,Adam,0.001,minmax,221.7008607,7.462249041,34.27832735,2506.687495,50.06683029
lstm,Wind,17,0.4,4,128, False,25,32,5,2841,Adam,0.001,minmax,197.9990125,7.460966587,37.17734838,2958.556274,54.39261231
rnn,Wind,0,0.4,1,32, True,25,64,5,1421,Adam,0.001,minmax,44.13337159,2.267256021,28.41159022,1700.37207,41.23556802
rnn,Wind,1,0.4,1,32, False,25,64,5,1421,Adam,0.001,minmax,45.09223938,2.275520086,29.97824256,1862.764791,43.15975894
rnn,Wind,2,0.4,1,64, True,25,64,5,1421,Adam,0.001,minmax,40.34367418,2.191144705,47.59559985,3980.349366,63.09001004
rnn,Wind,3,0.4,1,64, False,25,64,5,1421,Adam,0.001,minmax,42.19287968,2.432765245,28.94391549,1751.612966,41.85227552
